description,equipment_type,model,make,size_category,capacity_btu,capacity_tr,seer,ieer,voltage_class,ch_mode,mandatory,local
Split_Wall_Mounted Gree 2.5TR SEER 15.5,Split_Wall_Mounted,GWH30AVEXH‐S6DTA1B,Gree,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15.5,,,cooling_heating,Yes,No
Split_Wall_Mounted Basic 2.62TR SEER 15,Split_Wall_Mounted,BSACCA‐FI36HB / BSACCA‐CI36HB,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_heating,Yes,No
Split_Wall_Mounted York 2.85TR SEER 15,Split_Wall_Mounted,YHQE36YT2CHSO-5 / YHQE36XT2CHS-R5,York,2.5 - 3.0 TR Split- Wall mounted AC Models List,34200,2.85,15,,,cooling_only,Yes,No
Split_Wall_Mounted Basic 2.85TR SEER 15.5,Split_Wall_Mounted,GWC36QFXH‐S6DTB4B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,34200,2.85,15.5,,,cooling_only,Yes,No
Split_Wall_Mounted York 2.85TR SEER 15.05,Split_Wall_Mounted,YGQE36XT2B2S-R4 / YGQE36YT2B2SO-4,York,2.5 - 3.0 TR Split- Wall mounted AC Models List,34200,2.85,15.05,,,cooling_heating,Yes,No
Split_Wall_Mounted York 2.28TR SEER 15,Split_Wall_Mounted,YHQE30YT2CHSO-5 / YHQE30XT2CHS-R5,York,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Fisher 2.28TR SEER 15.1,Split_Wall_Mounted,FSACCA-XF30HIB / FSACCA-XC30HIB,Fisher,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15.1,,,cooling_heating,Yes,No
Split_Wall_Mounted LG 2.5TR SEER 15.25,Split_Wall_Mounted,NT382C2 NR2 / NT382C2 UR2,LG,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15.25,,,cooling_only,Yes,Yes
Split_Wall_Mounted LG 2.5TR SEER 15.25,Split_Wall_Mounted,NT382H2.NR2,LG,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15.25,,,cooling_heating,Yes,Yes
Split_Wall_Mounted Zamil 2.28TR SEER 15.1,Split_Wall_Mounted,AIZ30ECIZBK AKZ30EIBCJZBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15.1,,,cooling_only,Yes,No
Split_Wall_Mounted Zamil 2.28TR SEER 15.1,Split_Wall_Mounted,AIZ30EHIZBK AKZ30EIBHJZBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15.1,,,cooling_heating,Yes,No
Split_Wall_Mounted Zamil 2.62TR SEER 15,Split_Wall_Mounted,AIZ36ECIZBK AKZ36EIBCJZBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_only,Yes,No
Split_Wall_Mounted Zamil 2.62TR SEER 15,Split_Wall_Mounted,AIZ36EHIZBK AKZ36EIBHJZBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Zamil 2.28TR SEER 15,Split_Wall_Mounted,HIZ30ECIPBK HKZ30EIGCJPBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15,,,cooling_only,Yes,No
Split_Wall_Mounted Zamil 2.28TR SEER 15,Split_Wall_Mounted,HIZ30EHIPBK HKZ30EIGHJPBK,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Fisher 2.62TR SEER 15,Split_Wall_Mounted,FSACCA‐XF36CIB FSACCA‐XC36CIB,Fisher,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_only,Yes,No
Split_Wall_Mounted Fisher 2.62TR SEER 15,Split_Wall_Mounted,FSACCA‐XF36HIB FSACCA‐XC36HIB,Fisher,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Basic 2.62TR SEER 15,Split_Wall_Mounted,BSACCA‐FI36CB BSACCA‐CI36CB,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,31400,2.62,15,,,cooling_only,Yes,No
Split_Wall_Mounted Basic 2.28TR SEER 15.1,Split_Wall_Mounted,BSACCA‐FI30CB - BSACCA‐CI30CB,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15.1,,,cooling_only,Yes,No
Split_Wall_Mounted Gree 2.5TR SEER 15.4,Split_Wall_Mounted,GWC30AWEXH‐S6DTA3A/I GWC30AWEXH‐S6DTA1A/O,Gree,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15.4,,,cooling_only,Yes,No
Split_Wall_Mounted Basic 2.5TR SEER 15,Split_Wall_Mounted,BSACCA‐FI30CB/B BSACCA‐CI30CB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15,,,cooling_only,Yes,No
Split_Wall_Mounted Airfel 2.42TR SEER 15,Split_Wall_Mounted,LXTYEQ32VLK/MXYEQ32VLKW,Airfel,2.5 - 3.0 TR Split- Wall mounted AC Models List,29000,2.42,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Haier 2.28TR SEER 15,Split_Wall_Mounted,HSU-30LPA13/R2(T3DB),Haier,2.5 - 3.0 TR Split- Wall mounted AC Models List,27400,2.28,15,,,cooling_only,Yes,No
Split_Wall_Mounted Haier 2.75TR SEER 15.05,Split_Wall_Mounted,HSU-36HPA13/R2(T3DB),Haier,2.5 - 3.0 TR Split- Wall mounted AC Models List,33000,2.75,15.05,,,cooling_heating,Yes,No
Split_Wall_Mounted Basic 2.33TR SEER 15.75,Split_Wall_Mounted,BSACCA‐FI30HB/B BSACCA‐CI30HB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,28000,2.33,15.75,,,cooling_heating,Yes,No
Split_Wall_Mounted Basic 2.33TR SEER 15,Split_Wall_Mounted,BSACMA-FI30HB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,28000,2.33,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Basic 2.5TR SEER 15,Split_Wall_Mounted,BSACCA‐FI30CB/B - BSACCA‐CI30CB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15,,,cooling_only,Yes,No
Split_Wall_Mounted Basic 3TR SEER 15,Split_Wall_Mounted,BSACCA‐FI36CB/B - BSACCA‐CI36CB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,36000,3,15,,,cooling_only,Yes,No
Split_Wall_Mounted Basic 2.93TR SEER 15.15,Split_Wall_Mounted,BSACCA‐FI36HB/B - BSACCA‐CI36HB/B,Basic,2.5 - 3.0 TR Split- Wall mounted AC Models List,35200,2.93,15.15,,,cooling_heating,Yes,No
Split_Wall_Mounted Zamil 2.5TR SEER 15,Split_Wall_Mounted,AIZ30EHIKBB‐R32 / AKZ30EIRHJKBB‐R32,Zamil,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15,,,cooling_heating,Yes,No
Split_Wall_Mounted York 2.5TR SEER 15,Split_Wall_Mounted,YHKF32XT2GHQC‐R6 / YHKF32YT2GHQCO‐6,York,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15,,,cooling_heating,Yes,No
Split_Wall_Mounted Midea 2.42TR SEER 15.15,Split_Wall_Mounted,SAPV30HDAG1KSA / SAPV30HDAG1KSA,Midea,2.5 - 3.0 TR Split- Wall mounted AC Models List,29000,2.42,15.15,,,cooling_heating,Yes,Yes
Split_Wall_Mounted Bancool 2.5TR SEER 15,Split_Wall_Mounted,BC30CV,Bancool,2.5 - 3.0 TR Split- Wall mounted AC Models List,30000,2.5,15,,,cooling_only,Yes,No
Split_Wall_Mounted Bancool 2.33TR SEER 15.75,Split_Wall_Mounted,BC30HV,Bancool,2.5 - 3.0 TR Split- Wall mounted AC Models List,28000,2.33,15.75,,,cooling_heating,Yes,No
Split_Wall_Mounted Bancool 3TR SEER 15,Split_Wall_Mounted,BC36CV,Bancool,2.5 - 3.0 TR Split- Wall mounted AC Models List,36000,3,15,,,cooling_only,Yes,No
Split_Wall_Mounted Bancool 2.93TR SEER 15.75,Split_Wall_Mounted,BC36HV,Bancool,2.5 - 3.0 TR Split- Wall mounted AC Models List,35200,2.93,15.75,,,cooling_heating,Yes,No
Split- Floor Standing/mounted LG 3.83TR SEER 15.05,Split- Floor Standing/mounted,APNW55GT3M6 / AUUW55GT6,LG,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,46000,3.83,15.05,,,cooling_heating,Yes,Yes
Split- Floor Standing/mounted Basic 4TR SEER 15.05,Split- Floor Standing/mounted,BVAC-FH48HPIB,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Basic 4TR SEER 15,Split- Floor Standing/mounted,BVAC-FH48HPIC,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Hisense 4TR SEER 15.05,Split- Floor Standing/mounted,HUF48HAI/O23,Hisense,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Basic 4.58TR SEER 13.9,Split- Floor Standing/mounted,BVAC-FH60HPIC,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,55000,4.58,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted York 4TR SEER 15.05,Split- Floor Standing/mounted,YLKF55XL2FFB-R3M/YLKF55YL2FFBO-3M,York,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted York 4.58TR SEER 13.9,Split- Floor Standing/mounted,YLKF65XL2EFB‐R3M / YLKF65YL2EFBO‐3M,York,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,55000,4.58,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted LG 3.83TR SEER 15.05,Split- Floor Standing/mounted,APNW55GT3M7 / AUUW55GT7 ,LG,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,46000,3.83,15.05,,,cooling_heating,Yes,Yes
Split- Floor Standing/mounted Basic 4TR SEER 15.05,Split- Floor Standing/mounted,BVAC‐FH48HPIB1 - BVAC‐CH48HPIB1,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Basic 4.58TR SEER 13.9,Split- Floor Standing/mounted,BVAC‐FH60HPIC1 - BVAC‐CH60HPIC1,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,55000,4.58,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Fisher 4TR SEER 15.05,Split- Floor Standing/mounted,FVAC‐FH48HPIB1 - FVAC‐CH48HPIB1,Fisher,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Fisher 4.58TR SEER 13.9,Split- Floor Standing/mounted,FVAC‐FH60HPIC1 - FVAC‐CH60HPIC1,Fisher,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,55000,4.58,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Hisense 4.58TR SEER 13.9,Split- Floor Standing/mounted,HUF60HAI/O23,Hisense,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,55000,4.58,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted LG 4TR SEER 15.25,Split- Floor Standing/mounted,APNQ55GT3MA / APUQ55GT3MA,LG,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.25,,,cooling_heating,Yes,Yes
Split- Floor Standing/mounted Bancool 3.75TR SEER 15.2,Split- Floor Standing/mounted,BCDU48IND BCDU48ODU,Bancool,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,45000,3.75,15.2,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Bancool 4.33TR SEER 15.2,Split- Floor Standing/mounted,BCDU60IND BCDU48ODU,Bancool,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,52000,4.33,15.2,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Basic 4.08TR SEER 15.05,Split- Floor Standing/mounted,BVAC‐FA48HIB / BVAC‐CA48HIB,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,49000,4.08,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Basic 4.86TR SEER 15.15,Split- Floor Standing/mounted,BVAC‐FA60HIB / BVAC‐CA60HIB,Basic,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,58400,4.86,15.15,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Airfel 4TR SEER 15.05,Split- Floor Standing/mounted,LXVYJA48VLK / MXYJA48VLKF,Airfel,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Airfel 4.42TR SEER 13.9,Split- Floor Standing/mounted,LXVYJA54VLK / MXYJA54VLKF,Airfel,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,53000,4.42,13.9,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Midea 4TR SEER 15.35,Split- Floor Standing/mounted, MFTFNV50HRDKSA,Midea,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,48000,4,15.35,,,cooling_heating,Yes,Yes
Split- Floor Standing/mounted Bancool 4.08TR SEER 15.05,Split- Floor Standing/mounted,BCFS48CH,Bancool,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,49000,4.08,15.05,,,cooling_heating,Yes,No
Split- Floor Standing/mounted Bancool 4.86TR SEER 15.15,Split- Floor Standing/mounted,BCFS60CH,Bancool,4.0-5.0 TR Split- Floor Standing/mounted AC Models List,58400,4.86,15.15,,,cooling_heating,Yes,No
Package York 7.85TR SEER 15.54,Package,DEH090I,York,Package Unit,94300,7.85,,15.54,,,Yes,Yes
Package York 9.26TR SEER 15.4C&H,Package,DEH120I,York,Package Unit,111200,9.26,,15.4,,,Yes,Yes
Package York 12.16TR SEER 16.5,Package,DEH160I,York,Package Unit,146000,12.16,,16.5,,,Yes,Yes
Package York 18.91TR SEER 14.23,Package,DEM230I,York,Package Unit,227000,18.91,,14.23,,,Yes,Yes
Package York 20.33TR SEER 14.23v2,Package,DEM260I,York,Package Unit,244000,20.33,,14.23,,,Yes,Yes
Package York 23.33TR SEER 12.64,Package,DEM290I,York,Package Unit,280000,23.33,,12.64,,,Yes,Yes
Package York 27.08TR SEER 12.79,Package,DEM350I,York,Package Unit,325000,27.08,,12.79,,,Yes,Yes
Package York 30.08TR SEER 12.17,Package,DEM410I,York,Package Unit,361000,30.08,,12.17,,,Yes,Yes
Package Zamil 6.25TR SEER 15.12,Package,PTX075KI,Zamil,Package Unit,75000,6.25,,15.12,,,Yes,Yes
Package Zamil 7.5TR SEER 15.84,Package,PTX090KI,Zamil,Package Unit,90000,7.5,,15.84,,,Yes,Yes
Package Zamil 10TR SEER 15.84C&H,Package,PTX120KI,Zamil,Package Unit,120000,10,,15.84,,,Yes,Yes
Package Zamil 12.5TR SEER 16.86C&H,Package,PTX150KI,Zamil,Package Unit,150000,12.5,,16.86,,,Yes,Yes
Package Zamil 15TR SEER 14.46C&H,Package,PTX180KI,Zamil,Package Unit,180000,15,,14.46,,,Yes,Yes
Package Zamil 17.5TR SEER 14.31C&H,Package,PTX210KI,Zamil,Package Unit,210000,17.5,,14.31,,,Yes,Yes
Package Zamil 20TR SEER 14.37C&H,Package,PTX240KI,Zamil,Package Unit,240000,20,,14.37,,,Yes,Yes
Package Zamil 25TR SEER 13.94C&H,Package,PTX300KI,Zamil,Package Unit,300000,25,,13.94,,,Yes,Yes
Package Zamil 30TR SEER 13.46C&H,Package,PTX360KI,Zamil,Package Unit,360000,30,,13.46,,,Yes,Yes
Package Zamil 33.33TR SEER 13.4C&H,Package,PTX400KI,Zamil,Package Unit,400000,33.33,,13.4,,,Yes,Yes
Package LG 3TR SEER 18.7C&H,Package,AK-Q036GC00,LG,Package Unit,36000,3,,18.7,220 V – 1Ph,cooling_only,Yes,Yes
Package LG 4TR SEER 18.2C&H,Package,AK-Q048GC00,LG,Package Unit,48000,4,,18.2,220 V – 1Ph,cooling_only,Yes,Yes
Package LG 4.41TR SEER 17.8C&H,Package,AK-Q060GC00,LG,Package Unit,53000,4.41,,17.8,220 V – 1Ph,cooling_only,Yes,Yes
Package LG 7.5TR SEER 20C&H,Package,AK-Q110LC01,LG,Package Unit,90000,7.5,,20,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 9.75TR SEER 19C&H,Package,AK-Q130LC01,LG,Package Unit,117000,9.75,,19,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 11.66TR SEER 19.5C&H,Package,AK-Q160LC01,LG,Package Unit,140000,11.66,,19.5,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 14.5TR SEER 18.5C&H,Package,AK-Q200LC01,LG,Package Unit,174000,14.5,,18.5,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 20TR SEER 19C&H,Package,AK-Q270LC01,LG,Package Unit,240000,20,,19,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 23TR SEER 18.3C&H,Package,AK-Q320LC01,LG,Package Unit,276000,23,,18.3,400 V – 3Ph,cooling_only,Yes,Yes
Package LG 14.5TR SEER 18.5C&H,Package,AK-Q200BC03,LG,Package Unit,174000,14.5,,18.5,220 V – 3Ph,cooling_only,Yes,Yes
Package LG 20TR SEER 19C&H,Package,AK-Q270BC03,LG,Package Unit,240000,20,,19,220 V – 3Ph,cooling_only,Yes,Yes
Package LG 23TR SEER 18.3C&H,Package,AK-Q320BC03,LG,Package Unit,276000,23,,18.3,220 V – 3Ph,cooling_only,Yes,Yes
Package LG 7.5TR SEER 20C&H,Package,AK-W110LH00,LG,Package Unit,90000,7.5,,20,400 V – 3Ph,cooling_heating,Yes,Yes
Package LG 9.75TR SEER 19C&H,Package,AK-W130LH00,LG,Package Unit,117000,9.75,,19,400 V – 3Ph,cooling_heating,Yes,Yes
Package LG 11.66TR SEER 19.5C&H,Package,AK-W160LH00,LG,Package Unit,140000,11.66,,19.5,400 V – 3Ph,cooling_heating,Yes,Yes
Package LG 14.5TR SEER 18.5C&H,Package,AK-W200LH00,LG,Package Unit,174000,14.5,,18.5,400 V – 3Ph,cooling_heating,Yes,Yes
Package LG 20TR SEER 19C&H,Package,AK-W270LH00,LG,Package Unit,240000,20,,19,400 V – 3Ph,cooling_heating,Yes,Yes
Package LG 23TR SEER 18.3C&H,Package,AK-W320LH00,LG,Package Unit,276000,23,,18.3,400 V – 3Ph,cooling_heating,Yes,Yes
